track_id, type, traveled_d, avg_speed, lat, lon, speed, lon_acc, lat_acc, time
213, Motorcycle,194.86,15.943033,37.978471,23.735657,31.3,0.0532,-0.0233,161.2
214, Car,502.02,20.821115,37.980451,23.735272,39.4896,0.0139,0.0128,161.2
215, Motorcycle,70.73,24.962328,37.977641,23.737395,12.6309,-0.274,0.2795,162.8
216, Motorcycle,429.72,42.267986,37.980445,23.735268,48.7069,-0.0598,0.0309,162.8
217, Car,428.6,35.227438,37.98044,23.735241,38.9327,-0.0282,0.0372,162.8
218, Car,312.95,15.183505,37.978453,23.735619,28.8375,-0.0779,0.0153,163.2
219, Car,117.06,27.014314,37.978082,23.737284,19.2844,-0.0733,-0.2592,163.8
220, Car,428.98,38.998142,37.980429,23.735236,37.5189,0.0007,0.0273,163.8
221, Taxi,428.75,21.319078,37.980405,23.735194,26.428,0.0962,-0.0351,164
222, Car,430.09,25.891546,37.980441,23.735264,39.3069,-0.1043,0.0739,164.8
223, Motorcycle,27.09,21.197573,37.978465,23.735677,29.2915,0.7741,0.0345,165
224, Motorcycle,313.1,16.148297,37.978448,23.73563,26.521,0.025,0.0455,165.8
225, Motorcycle,304.64,16.46677,37.978477,23.735665,28.0062,-0.0641,0.0259,167
226, Taxi,147.94,8.935679,37.980449,23.735271,29.7397,0.6526,-0.0265,167.2
227, Car,159.71,17.317469,37.980331,23.735099,9.5386,0.7671,0,167.4
228, Medium Vehicle,429.18,18.091995,37.980422,23.735222,35.8042,0.3111,0.013,168.2
229, Motorcycle,306.23,17.225533,37.978466,23.735668,28.5575,0.0929,-0.0058,168.4
230, Car,72.63,14.36541,37.977628,23.737408,9.7452,0.8538,0,168.8
231, Taxi,430.86,25.851754,37.980437,23.735248,40.3381,-0.2325,-0.0426,169
232, Car,206.11,8.450983,37.978458,23.735618,26.6026,0.1088,0.0726,169.4
233, Motorcycle,211.98,16.031736,37.980413,23.735206,43.9965,0.6265,-0.011,169.6
234, Taxi,316.54,16.611439,37.978448,23.735618,21.5635,0.1033,0.0031,172.4
235, Car,69.47,16.240764,37.977622,23.737413,8.9466,-0.041,0.1083,174.2
236, Taxi,317.74,12.542301,37.978452,23.735616,21.5211,0.1023,0.0263,175
237, Motorcycle,68.27,18.341949,37.97763,23.73741,9.6531,-0.1036,0.1694,176.4
238, Motorcycle,148.94,17.992468,37.978458,23.735649,20.6837,0.1189,0.0307,176.6
239, Car,71.46,20.418447,37.977622,23.737408,15.1546,-0.3385,0.3521,179.6
240, Car,315.13,17.616213,37.978458,23.735614,20.412,-0.0078,-0.0012,179.8
241, Car,323.4,21.884445,37.978453,23.735614,24.8447,0.1252,-0.0094,182.2
242, Car,321.19,21.333604,37.978456,23.735618,20.0187,-0.0622,0.0167,184.4
243, Car,311.46,19.534269,37.978458,23.735622,21.8494,0.0625,-0.0161,187
244, Car,216.53,10.707764,37.978454,23.735615,19.9642,-0.0861,-0.0061,189.4
245, Taxi,312.96,9.357594,37.978454,23.735629,17.9157,-0.1091,0.0096,192.2
246, Taxi,321.57,9.894455,37.978458,23.735619,21.6922,0.1873,-0.0167,195
247, Car,311.69,12.523413,37.978454,23.735621,15.5655,-0.2068,-0.1086,198.2
248, Car,200.11,29.048075,37.980397,23.735199,28.7537,-0.414,-0.0057,199.6
249, Car,313.93,11.997367,37.978432,23.73564,4.3225,0.3833,0,199.8
250, Motorcycle,428.97,29.027838,37.980422,23.735251,29.5926,-0.0307,-0.0119,200.4
251, Car,317.71,12.596321,37.97846,23.735625,16.4115,-0.1167,0.3435,201.2
252, Taxi,191.36,16.884995,37.980051,23.736926,18.8234,-0.2089,0.0351,201.8
253, Car,155.1,25.612752,37.980446,23.735276,24.2437,0.4206,0.0121,202
254, Car,335.92,18.836711,37.98043,23.735255,22.313,-0.1867,-0.0222,202.6
255, Taxi,427.94,28.529403,37.980407,23.735201,29.0389,-0.437,-0.0105,202.8
256, Motorcycle,23.99,16.611151,37.980437,23.735275,19.0178,0.2917,-0.0537,203.2
257, Taxi,316.04,10.286932,37.978455,23.735617,19.6311,-0.0212,0.0075,204
258, Taxi,431.35,23.816662,37.980436,23.735256,22.9696,-0.4998,-0.0185,204.2
259, Taxi,500.2,13.766882,37.980399,23.735199,27.3512,-0.2315,0.0038,204.2
260, Car,190.57,17.151031,37.980057,23.736926,18.8349,-0.1527,0.0639,205.2
261, Motorcycle,428.95,32.716504,37.980413,23.735219,36.87,0.0207,0.0231,205.4
262, Car,139.43,21.635832,37.980444,23.735277,19.5803,0.223,-0.035,206
263, Car,430.04,39.900798,37.980431,23.735243,32.2686,-0.553,0.0219,206.4
264, Bus,427.94,14.784892,37.980406,23.735206,28.1395,-0.2486,-0.0181,207.6
265, Car,430.26,23.187887,37.980443,23.735279,26.4717,0.1877,0.0602,208.8
266, Car,85.89,6.692799,37.978344,23.737798,27.6428,0.2445,0.0171,209.6
267, Taxi,215.79,13.534016,37.978452,23.735619,16.8353,-0.1583,0.0667,209.8
268, Car,197.89,28.725655,37.980414,23.735214,27.3553,-0.3352,-0.0033,209.8
269, Taxi,82.3,21.161674,37.980393,23.735182,19.2365,0.1407,0.0825,210.4
270, Car,429.94,15.825943,37.980447,23.735273,25.5326,0.204,-0.024,210.4
271, Car,190.85,18.469318,37.98005,23.736931,25.4763,-0.2954,-0.0369,210.6
272, Taxi,428.76,41.051494,37.980423,23.735235,29.4525,-0.2999,-0.0867,211
273, Motorcycle,428.39,46.733098,37.980423,23.735258,41.1512,-0.2237,-0.0372,211.4
274, Taxi,199.82,27.668014,37.980404,23.735203,26.5317,-0.3289,0.1044,211.8
275, Car,428.18,13.98783,37.980442,23.735276,27.3545,0.2596,-0.0406,212.2
276, Car,427.72,38.303436,37.98043,23.735249,32.0504,-0.0744,-0.0011,213.4
277, Car,428.23,18.800196,37.980446,23.735276,26.8884,0.1762,-0.0365,213.6
278, Car,157.24,12.635129,37.978457,23.735616,25.4129,0.1273,-0.0194,213.6
279, Taxi,77.97,23.006125,37.980392,23.73519,29.3552,0.5664,0.1865,213.6
280, Car,428.34,18.445219,37.980423,23.735249,31.815,3.1039,0,214.8
281, Motorcycle,427.55,43.235378,37.980404,23.735238,46.6967,0.1576,-0.0162,215.2
282, Taxi,200.96,15.865528,37.980397,23.735212,31.8942,-0.0744,0.0124,215.6
283, Motorcycle,23.12,23.121583,37.980436,23.735281,28.2101,0.7737,-0.0823,216
284, Car,518.06,15.261975,37.980206,23.735162,0.001,0.0014,0,217.8
285, Motorcycle,35.85,12.652826,37.980051,23.736923,22.3146,0.4873,0.0245,219.2
286, Car,71.53,5.432788,37.977619,23.73741,10.2624,0.5024,0.0003,225.4
287, Motorcycle,61.02,21.121434,37.977606,23.737418,10.7777,-0.6735,0.2016,227.8
288, Car,308,10.764945,37.978461,23.735617,37.4122,0.0957,0.0202,232.4
289, Car,192.44,13.170478,37.980057,23.736933,19.4937,-0.1071,-0.0039,236.4
290, Motorcycle,22.98,10.886854,37.978599,23.735993,13.8235,0.2301,0.1632,239.8
291, Motorcycle,429.57,24.547098,37.980419,23.735228,24.3137,-0.517,-0.0157,241
292, Car,108.04,9.871435,37.977451,23.73706,29.795,-0.0428,0.0826,241
293, Motorcycle,200.71,32.256587,37.980409,23.735207,25.6027,-0.4301,0.0272,241.2
294, Motorcycle,34.9,21.661329,37.980445,23.735273,20.0231,-0.0003,-0.0215,242.2
295, Motorcycle,113.55,24.625267,37.978077,23.73728,11.3917,-0.7275,-0.2526,242.4
296, Car,204.95,28.377038,37.978457,23.735618,38.6716,-0.1382,0.0127,243.2
297, Motorcycle,30.88,15.882389,37.977655,23.737399,13.506,-0.33,0.2955,244.4
298, Car,426.1,18.004312,37.980446,23.735274,29.1304,-0.2631,0.1161,245.4
299, Taxi,207.09,11.576607,37.978451,23.735628,32.8891,-0.1167,0.0077,246
300, Car,429.53,19.280714,37.980434,23.735245,24.8633,-0.2505,0.001,246.4
301, Bus,101.36,16.146596,37.9804,23.735194,21.8978,0.1971,0.0654,246.4
302, Motorcycle,353.81,18.676352,37.980445,23.735271,35.8547,-0.2153,-0.0027,247
303, Car,427.35,20.458185,37.980418,23.735223,34.3316,-0.0566,0.1546,247
304, Medium Vehicle,118.57,11.001248,37.977389,23.737039,14.4231,-1.9168,2.2238,247.4
305, Motorcycle,429.45,25.344475,37.980426,23.735264,32.209,-0.373,0.0204,247.6
306, Motorcycle,380.25,40.499919,37.980414,23.735217,36.4719,-0.0271,0.0284,247.8
307, Motorcycle,25.19,18.890288,37.980448,23.73528,23.4907,0.5632,-0.056,248.8
308, Car,312.26,13.844003,37.978459,23.73562,40.6966,-0.1916,0.0043,249
309, Car,202.18,25.272225,37.980421,23.735227,32.921,-0.2552,0.0174,249.4
310, Motorcycle,423.04,36.609608,37.980404,23.735217,35.3585,-0.5309,0.0042,250
311, Car,29.24,9.930385,37.980045,23.736925,17.5016,0.4357,0.001,250.2
312, Car,337.04,20.564966,37.980445,23.735276,26.5216,0.0809,-0.0712,250.4
